country,date,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Afghanistan,2020-09-28,19126.85,27546.365,4990.853,46.50479,66.9759,12.1347,81.60658,142.67241,19.098085,0.19841726,0.346892,0.046434857
Afghanistan,2020-10-05,19689.28,28245.285,5220.077,47.872276,68.67525,12.692032,80.34708,126.932076,15.277775,0.19535492,0.30862114,0.037146196
Afghanistan,2020-10-12,20379.338,29051.1,5522.073,49.550076,70.63449,13.426303,98.5799,167.98584,28.038206,0.239686,0.40843874,0.068171754
Afghanistan,2020-10-19,21051.36,29848.238,5803.192,51.18402,72.57265,14.109811,96.00308,163.93408,28.714453,0.23342073,0.39858735,0.06981598
Afghanistan,2020-10-26,21694.525,30949.662,6403.5415,52.747807,75.25063,15.569493,91.88084,192.61298,34.984028,0.22339796,0.46831688,0.08505974
Afghanistan,2020-11-02,22457.848,32028.781,6905.222,54.60374,77.87439,16.789274,109.046005,181.41383,28.256807,0.26513314,0.44108742,0.068703264
Afghanistan,2020-11-09,23349.777,33256.83,7404.773,56.77237,80.860245,18.003876,127.41858,187.3025,31.474123,0.309804,0.45540506,0.07652581
Afghanistan,2020-11-16,24233.459,34030.473,7830.2,58.92094,82.74128,19.038254,126.24009,194.81407,34.502537,0.30693862,0.47366858,0.083889045
Afghanistan,2020-11-23,25151.37,35007.773,8493.448,61.152737,85.11748,20.650867,131.1302,215.86456,33.731117,0.3188284,0.5248505,0.082013436
Afghanistan,2020-11-30,25886.525,36514.18,9305.337,62.940186,88.780136,22.624884,105.02223,216.77185,28.556786,0.25534979,0.52705646,0.06943262
Afghanistan,2020-12-07,26757.805,38089.7,9652.076,65.05861,92.61084,23.467941,124.46859,228.60718,27.332685,0.3026314,0.55583274,0.06645636
Afghanistan,2020-12-14,27567.98,39644.246,9985.661,67.02845,96.39054,24.279016,115.73915,217.22417,21.391552,0.28140676,0.5281562,0.052011162
Afghanistan,2020-12-21,28328.885,40294.35,10225.983,68.87851,97.9712,24.863335,108.70071,194.18071,21.104116,0.26429358,0.47212863,0.051312298
Afghanistan,2020-12-28,29066.984,40882.46,10501.133,70.67312,99.40112,25.532328,105.44294,190.1967,19.767603,0.2563727,0.46244195,0.04806271
Afghanistan,2021-01-04,29480.904,41137.133,10787.462,71.67951,100.020325,26.228506,59.13123,141.69807,0.8024326,0.14377096,0.34452298,0.001951025
Afghanistan,2021-01-11,29877.127,41409.406,11097.414,72.64288,100.68233,26.982119,56.603287,163.93317,-11.196863,0.13762455,0.3985851,-0.027223919
Afghanistan,2021-01-18,30212.137,42616.617,11075.136,73.45743,103.61753,26.927952,47.858547,161.63585,-10.835569,0.1163627,0.39299947,-0.026345473
Afghanistan,2021-01-25,30595.03,43305.273,11174.655,74.38838,105.291916,27.169922,54.698944,171.82881,-7.0440655,0.13299435,0.41778252,-0.017126856
Afghanistan,2021-02-01,30840.113,43753.164,11293.584,74.98428,106.38092,27.459085,35.012115,162.78569,-11.690332,0.08512803,0.39579514,-0.028423732
Afghanistan,2021-02-08,31068.94,44179.484,11271.396,75.54064,107.417465,27.405136,32.689358,155.39261,-23.681528,0.079480514,0.37781972,-0.05757898
Afghanistan,2021-02-15,31370.055,44647.54,11352.862,76.27277,108.55548,27.603214,43.01635,142.05302,-11.977916,0.10458944,0.345386,-0.029122962
Afghanistan,2021-02-22,31540.322,45077.33,11330.159,76.68676,109.60047,27.548012,24.324064,148.00792,-20.274878,0.059141234,0.35986468,-0.049296092
Afghanistan,2021-03-01,31624.664,45437.934,11260.0625,76.89182,110.47724,27.37758,12.048667,170.56334,-34.65277,0.029294983,0.41470563,-0.084254324
Afghanistan,2021-03-08,31845.398,45782.695,11185.796,77.42851,111.3155,27.19701,31.53348,168.60542,-13.4514475,0.07667012,0.4099452,-0.032705687
Afghanistan,2021-03-15,32133.428,46207.24,11138.008,78.12883,112.347725,27.080816,41.14717,172.32324,-14.400636,0.100044735,0.41898465,-0.035013534
Afghanistan,2021-03-22,32449.295,46621.79,11158.691,78.89683,113.35565,27.131107,45.12391,193.50047,-32.381676,0.109713726,0.47047472,-0.078732416
Afghanistan,2021-03-29,32926.137,48179.688,11358.009,80.05621,117.14351,27.615725,68.12039,193.87369,4.6781144,0.1656271,0.47138214,0.011374311
Afghanistan,2021-04-05,33505.008,49640.36,11728.663,81.46367,120.69497,28.516932,82.69574,191.72255,28.803288,0.20106542,0.46615192,0.07003196
Afghanistan,2021-04-12,34109.926,51152.71,11921.095,82.93446,124.372086,28.984806,86.416855,192.17647,21.66117,0.21011288,0.46725553,0.052666705
Afghanistan,2021-04-19,34701.34,52699.336,12282.529,84.37242,128.13254,29.863594,84.48772,198.94432,27.50398,0.20542242,0.4837108,0.06687284
Afghanistan,2021-04-26,35442.47,54468.97,12758.877,86.17439,132.4352,31.021778,105.87567,235.84062,40.098785,0.25742483,0.57342005,0.0974957
Afghanistan,2021-05-03,36263.727,56272.78,13193.679,88.17119,136.82095,32.07895,117.322426,288.20947,33.494095,0.28525633,0.70074904,0.08143713
Afghanistan,2021-05-10,37128.094,57211.387,13724.898,90.2728,139.10307,33.370552,123.4808,300.60385,34.07355,0.30022973,0.73088455,0.08284602
Afghanistan,2021-05-17,38293.55,58151.414,14547.51,93.106476,141.38864,35.37064,166.4941,402.02496,39.582844,0.40481174,0.9774787,0.09624125
Afghanistan,2021-05-24,39613.86,59031.715,14934.932,96.31666,143.529,36.31261,188.61548,432.18628,46.19613,0.4585974,1.0508125,0.11232071
Afghanistan,2021-05-31,41354.89,59732.66,15927.5205,100.54978,145.23328,38.72598,248.71892,373.33447,59.49284,0.6047322,0.9077209,0.14465018
Afghanistan,2021-06-07,43663.082,60561.695,17222.408,106.16189,147.24898,41.874355,329.7413,351.6998,86.24734,0.801729,0.85511863,0.20970073
Afghanistan,2021-06-14,46588.65,61934.633,18780.244,113.27507,150.58713,45.66206,417.93796,417.93796,123.8131,1.0161693,1.0161693,0.30103767
Afghanistan,2021-06-21,49560.01,63440.344,19923.36,120.49961,154.2481,48.441414,424.4805,465.04846,135.03256,1.0320767,1.1307132,0.32831657
Afghanistan,2021-06-28,51645.934,64962.598,20772.148,125.5713,157.94928,50.505154,297.98892,369.4892,137.30006,0.72452664,0.8983716,0.3338297
Afghanistan,2021-07-05,53721.45,66512.766,21786.406,130.61769,161.71832,52.971207,296.50262,346.5798,126.32563,0.7209129,0.84266996,0.3071466
Afghanistan,2021-07-12,55788.992,68115.59,22934.977,135.64468,165.61542,55.763824,295.36313,408.02448,130.42662,0.71814233,0.9920658,0.31711772
Afghanistan,2021-07-19,57694.03,70026.484,23788.936,140.27657,170.26155,57.84013,272.14825,407.13174,111.32176,0.6616979,0.98989516,0.2706664
Afghanistan,2021-07-26,59488.457,71918.23,24681.336,144.63953,174.86111,60.009903,256.34683,370.37766,91.264465,0.62327856,0.90053177,0.22189932
Afghanistan,2021-08-02,62073.906,73890.3,25798.734,150.92575,179.65598,62.72673,369.34985,422.0012,104.50577,0.8980327,1.0260485,0.25409406
Afghanistan,2021-08-09,63496.26,75734.04,26863.656,154.38405,184.13884,65.31597,203.19351,284.00693,77.54845,0.49404225,0.690531,0.18855035
Afghanistan,2021-08-16,64789.293,77675.445,28086.336,157.52791,188.85915,68.28878,184.7187,251.4258,65.70823,0.44912285,0.61131364,0.15976219
Afghanistan,2021-08-23,65765.414,79626.61,28882.83,159.90123,193.60316,70.225365,139.4458,244.17964,45.810318,0.33904687,0.59369546,0.111382656
Afghanistan,2021-08-30,66660.66,81265.19,29522.148,162.07793,197.5872,71.77979,127.892204,229.232,34.10133,0.31095558,0.55735195,0.08291356
Afghanistan,2021-09-06,67540.5,82829.195,30161.879,164.21715,201.38991,73.33523,125.69136,192.17819,35.189697,0.30560446,0.46725976,0.08555981
Afghanistan,2021-09-13,68398.62,84407.85,30820.13,166.30357,205.22823,74.9357,122.58825,188.17516,33.146717,0.29805958,0.4575268,0.08059253
Afghanistan,2021-09-20,69226.07,85642.12,31128.031,168.31543,208.22922,75.68432,118.20792,169.0538,19.623316,0.2874093,0.41103536,0.04771189
Afghanistan,2021-09-27,69960.1,86850.914,31350.52,170.10016,211.16826,76.22527,104.861755,136.91348,11.748752,0.2549596,0.3328898,0.028565772
Afghanistan,2021-10-04,70600.984,87961.81,31559.172,171.65839,213.8693,76.73259,91.55435,139.56902,15.826357,0.22260416,0.3393464,0.038480014
Afghanistan,2021-10-11,71357.164,89159.98,31630.318,173.49695,216.78249,76.90557,108.025345,147.2352,18.894382,0.2626515,0.35798588,0.045939572
Afghanistan,2021-10-18,71956.67,90339.35,31691.295,174.95457,219.65001,77.05383,85.64418,131.93922,10.827664,0.20823422,0.32079542,0.026326252
Afghanistan,2021-10-25,72501.16,91430.21,31742.746,176.27843,222.3023,77.17893,77.78349,141.34198,2.5492325,0.18912186,0.3436572,0.006198173
Afghanistan,2021-11-01,73070.2,92579.84,31881.846,177.662,225.09752,77.517136,81.29205,143.26521,4.2337136,0.19765252,0.3483333,0.0102938
Afghanistan,2021-11-08,73347.62,93585.375,31985.26,178.3365,227.54236,77.76857,39.63063,120.87815,1.9556674,0.096357435,0.29390168,0.004754986
Afghanistan,2021-11-15,73621.9,95368.82,32084.094,179.0034,231.8786,78.00887,39.183933,146.60225,1.5980062,0.09527134,0.35644695,0.003885373
Afghanistan,2021-11-22,73919.29,97330.875,32186.123,179.72647,236.64911,78.25695,42.483925,193.93077,1.9121563,0.103294894,0.47152093,0.004649194
Afghanistan,2021-11-29,74128.39,98953.9,32188.363,180.23488,240.59532,78.2624,29.872175,175.05699,-6.0061183,0.072630845,0.42563143,-0.014603204
Afghanistan,2021-12-06,74328.6,99736.2,32178.51,180.72166,242.4974,78.23844,28.601072,166.87866,-10.500379,0.0695403,0.40574676,-0.025530495
Afghanistan,2021-12-13,74528.88,100242.75,32201.531,181.20863,243.72902,78.29441,28.612123,180.6046,-8.193526,0.06956717,0.43911985,-0.019921642
Afghanistan,2021-12-20,74775.19,100723.13,32199.727,181.8075,244.897,78.29003,35.186356,175.24277,-9.991231,0.08555168,0.42608315,-0.024292558
Afghanistan,2021-12-27,74982.04,101114.484,32307.49,182.31044,245.84853,78.55204,29.550282,150.34117,-17.895317,0.0718482,0.36553773,-0.043510456
Afghanistan,2022-01-03,75177.87,101531.65,32372.648,182.78654,246.86282,78.710464,27.974419,122.3034,-21.944294,0.06801666,0.297367,-0.05335509
Afghanistan,2022-01-10,75375.836,101864.79,32361.078,183.2679,247.67282,78.682335,28.281736,158.13045,-13.748699,0.068763874,0.38447648,-0.03342842
Afghanistan,2022-01-17,75569.69,102130.91,32349.676,183.73923,248.31985,78.65461,27.693178,209.65002,-17.354694,0.06733286,0.50974053,-0.042195994
Afghanistan,2022-01-24,75781.85,102436.58,32660.586,184.25508,249.06306,79.41055,30.309212,342.72012,-15.322409,0.073693454,0.83328557,-0.037254717
Afghanistan,2022-01-31,76657.484,103079.875,33657.9,186.3841,250.62717,81.83541,125.09054,384.82858,20.577982,0.30414364,0.9356676,0.05003306
Afghanistan,2022-02-07,77556.05,103883.195,34369.438,188.56885,252.58035,83.56544,128.3662,398.715,29.161455,0.312108,0.9694308,0.07090281
Afghanistan,2022-02-14,78494.59,104772.984,35459.906,190.85081,254.74376,86.21678,134.0782,359.0898,36.110023,0.32599613,0.87308663,0.08779747
Afghanistan,2022-02-21,79539.516,105663.97,36454.14,193.39142,256.9101,88.63416,149.27403,290.4295,36.951046,0.36294308,0.7061468,0.08984233
Afghanistan,2022-02-28,80480.44,106265.805,37123.098,195.67915,258.3734,90.26066,134.41702,239.23105,26.215843,0.32681993,0.5816635,0.06374089
Afghanistan,2022-03-07,81493.19,107047.24,37629.555,198.14156,260.27338,91.49204,144.67871,242.32939,16.596968,0.35177007,0.58919674,0.040353667
Afghanistan,2022-03-14,82055.336,107617.95,38164.055,199.50836,261.661,92.79162,80.3074,213.67847,-4.3923154,0.19525845,0.51953524,-0.010679423
Afghanistan,2022-03-21,82268.83,107978.945,38711.62,200.02744,262.5387,94.12297,30.498667,142.07799,-15.773487,0.07415409,0.3454467,-0.038351465
Afghanistan,2022-03-28,82993.305,108970.21,39002.55,201.78893,264.94885,94.83033,103.49715,167.30394,18.750294,0.25164172,0.40678078,0.04558924
Afghanistan,2022-04-04,83305.164,109679.29,39540.492,202.54718,266.67288,96.138275,44.551136,177.65843,2.982058,0.10832109,0.43195656,0.00725054
Afghanistan,2022-04-11,83567.305,110357.2,39539.566,203.18454,268.32117,96.136024,37.448345,196.80846,-10.927598,0.09105145,0.4785177,-0.02656923
Afghanistan,2022-04-18,83837.74,111055.22,39527.973,203.84207,270.0183,96.10784,38.633877,202.34526,-8.910963,0.09393394,0.49197984,-0.021666007
Afghanistan,2022-04-25,84127.5,112282.93,39571.676,204.54659,273.00336,96.214096,41.39429,182.3746,-5.3326354,0.10064558,0.44342342,-0.012965705
Afghanistan,2022-05-02,84390.87,113995.445,39567.836,205.18694,277.16714,96.20476,37.62381,127.612724,-18.50015,0.09147808,0.31027603,-0.044981044
Afghanistan,2022-05-09,84653.75,115486.49,39672.01,205.82611,280.79245,96.45805,37.554836,158.20757,-7.26377,0.091310374,0.38466397,-0.017661043
Afghanistan,2022-05-16,84926.22,116909.7,39578.676,206.48859,284.25284,96.23112,38.923943,166.44133,-5.6594677,0.094639204,0.40468344,-0.013760361
Afghanistan,2022-05-23,85226.68,117024.04,39485.008,207.21913,284.53085,96.00337,42.923374,170.2675,-3.9897068,0.104363374,0.41398633,-0.009700525
Afghanistan,2022-05-30,86122.4,117250.57,39609.625,209.39697,285.08163,96.306366,127.95983,195.20341,14.212622,0.31112,0.47461522,0.034556396
Afghanistan,2022-06-06,87021.56,117954.02,39696.895,211.58318,286.792,96.51855,128.4514,185.7337,4.8068056,0.3123152,0.45159066,0.011687209
Afghanistan,2022-06-13,87883.516,118688.98,39790.03,213.67891,288.57895,96.745,123.135796,203.29321,5.914814,0.29939088,0.49428466,0.014381207
Afghanistan,2022-06-20,88757.51,119347.48,39826.832,215.80394,290.18002,96.83448,124.857,206.02196,0.49835896,0.3035758,0.50091934,0.001211704
Afghanistan,2022-06-27,89680.02,120013.75,39887.984,218.04692,291.8,96.98316,131.78711,215.98103,8.735921,0.3204256,0.52513367,0.021240413
Afghanistan,2022-07-04,90579.68,120426.14,39991.47,220.23433,292.80267,97.23478,128.5223,204.98787,3.5461576,0.31248754,0.49840504,0.008622085
Afghanistan,2022-07-11,91472.414,120864.945,40069.1,222.40492,293.86957,97.42353,127.53369,183.71275,3.3966846,0.3100839,0.44667697,0.008258658
Afghanistan,2022-07-18,92496.01,121318.305,40212.516,224.89368,294.97186,97.77223,146.22789,186.43565,5.1952157,0.35553673,0.4532974,0.012631585
Afghanistan,2022-07-25,93648.98,121750.91,40320.43,227.69699,296.02368,98.034615,164.70969,205.82979,9.944897,0.40047315,0.5004521,0.024179902
Afghanistan,2022-08-01,94789.65,122223.03,40482.414,230.4704,297.1716,98.42845,162.9528,190.66739,20.16297,0.3962015,0.4635864,0.049024
Afghanistan,2022-08-08,95925.53,123014.445,40723.137,233.23218,299.09583,99.01374,162.2689,187.26208,18.792847,0.39453867,0.45530677,0.0456927
Afghanistan,2022-08-15,97264.72,124483.0,41133.477,236.48827,302.66647,100.01144,191.31332,253.09503,45.263268,0.4651569,0.6153722,0.110052556
Afghanistan,2022-08-22,98432.25,125833.69,41343.617,239.32698,305.9505,100.52238,166.78976,214.35316,24.287477,0.4055306,0.5211757,0.05905228
Afghanistan,2022-08-29,99502.14,127054.414,41512.23,241.92831,308.91858,100.93234,152.84178,246.65634,7.839115,0.37161767,0.59971726,0.01905993
Afghanistan,2022-09-05,100384.625,127811.73,41763.7,244.07396,310.7599,101.543755,126.06895,226.55714,9.722246,0.30652252,0.5508483,0.023638552
Afghanistan,2022-09-12,101266.98,128540.92,41890.11,246.21931,312.53284,101.85111,126.05076,226.32259,14.135212,0.3064783,0.550278,0.034368183
Afghanistan,2022-09-19,102085.62,129112.625,41953.992,248.20973,313.92288,102.00643,116.94784,182.06161,1.885505,0.28434557,0.44266242,0.004584394
Afghanistan,2022-09-26,102895.59,129639.0,42102.547,250.1791,315.2027,102.36762,115.71066,183.04955,3.213334,0.2813375,0.44506446,0.007812862
Afghanistan,2022-10-03,103726.56,130242.44,42035.598,252.19951,316.6699,102.20485,118.709984,185.55365,-7.8236966,0.28863,0.45115292,-0.01902244
Afghanistan,2022-10-10,104510.75,130902.58,41749.145,254.10617,318.27493,101.50837,112.02673,185.65741,-0.5982801,0.27238044,0.45140517,-0.001454651
Afghanistan,2022-10-17,105243.01,131817.05,42182.855,255.88658,320.49838,102.56289,104.608604,138.9755,3.3535085,0.2543441,0.33790332,0.00815368
Afghanistan,2022-10-24,105973.93,132765.03,42606.113,257.66373,322.80328,103.591995,104.417915,162.57205,1.2435087,0.25388047,0.39527574,0.003023452
Afghanistan,2022-10-31,106818.89,133776.31,43043.98,259.71817,325.2621,104.65662,120.70842,178.54025,11.582047,0.29348898,0.43410063,0.02816045
Afghanistan,2022-11-07,107701.586,134827.5,43481.027,261.86432,327.81793,105.719246,126.09879,184.3458,12.086594,0.3065951,0.44821614,0.029387198
Afghanistan,2022-11-14,108588.93,135878.3,43925.203,264.02182,330.37283,106.79921,126.763504,181.31413,11.984896,0.30821124,0.44084498,0.02913993
Afghanistan,2022-11-21,109474.8,137337.89,44315.652,266.1757,333.92166,107.74854,126.55289,185.66484,13.994066,0.30769917,0.45142323,0.034025002
Afghanistan,2022-11-28,110220.93,139968.31,44419.73,267.98984,340.31726,108.0016,106.59032,137.88347,-18.04392,0.25916243,0.33524817,-0.043871768
Afghanistan,2022-12-05,110943.55,141441.05,44604.81,269.7468,343.89804,108.4516,103.23131,156.67114,-15.543017,0.25099537,0.3809283,-0.037791107
Afghanistan,2022-12-12,111695.34,142176.02,44790.18,271.5747,345.68503,108.9023,107.39897,185.25201,-17.111479,0.26112857,0.45041952,-0.04160464
Afghanistan,2022-12-19,112441.36,142979.1,45017.652,273.38858,347.63763,109.455376,106.5742,188.67055,-16.080853,0.25912324,0.4587313,-0.039098788
Afghanistan,2022-12-26,113188.4,143751.97,45348.69,275.2049,349.51678,110.26027,106.71965,187.04976,-13.881065,0.25947687,0.45479053,-0.033750255
Afghanistan,2023-01-02,113865.36,144543.58,45635.2,276.85086,351.4415,110.95687,96.70831,219.88293,-24.639135,0.23513542,0.5346207,-0.059907295
Afghanistan,2023-01-09,114540.76,145312.94,45907.07,278.493,353.31213,111.6179,96.48552,223.66284,-25.48434,0.23459373,0.54381114,-0.061962318
Afghanistan,2023-01-16,115210.9,146160.52,46187.754,280.12238,355.3729,112.30035,95.734116,239.15985,-17.36056,0.23276678,0.5814904,-0.04221026
Afghanistan,2023-01-23,115845.7,147011.12,46451.402,281.66583,357.4411,112.94138,90.68684,235.72942,-15.724851,0.22049487,0.5731497,-0.038233213
Afghanistan,2023-01-30,116485.805,147866.33,46710.168,283.22217,359.52042,113.57053,91.44308,231.06133,-10.917779,0.2223336,0.5617997,-0.026545355
Afghanistan,2023-02-06,117181.29,148642.75,46864.773,284.91318,361.4082,113.94644,99.35484,223.67021,-18.830269,0.24157017,0.5438291,-0.045783687
Afghanistan,2023-02-13,117853.664,149523.48,46867.418,286.54797,363.5496,113.95287,96.05364,233.2773,-12.609481,0.23354366,0.5671876,-0.03065854
Afghanistan,2023-02-20,118580.445,150472.55,47190.293,288.31506,365.85715,114.73791,103.8257,232.22667,-13.030661,0.25244054,0.56463313,-0.03168259
Afghanistan,2023-02-27,119280.42,151443.44,47669.793,290.01697,368.21777,115.90376,99.99716,219.32162,-12.369506,0.24313189,0.53325593,-0.030075068
Afghanistan,2023-03-06,119945.195,152320.39,47837.227,291.6333,370.34995,116.31085,94.9676,219.37051,-12.981546,0.23090307,0.5333748,-0.031563178
Afghanistan,2023-03-13,120615.83,153193.48,48178.12,293.26385,372.4728,117.1397,95.80447,217.1763,-11.737425,0.23293781,0.5280398,-0.028538235
Afghanistan,2023-03-20,121281.48,154044.61,48705.74,294.88232,374.5422,118.42254,95.0927,227.60983,-8.322313,0.23120724,0.5534078,-0.020234771
Afghanistan,2023-03-27,121961.734,154909.16,49222.855,296.5363,376.64426,119.679855,97.17982,228.45471,-9.2449045,0.23628184,0.55546206,-0.022477949
